Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,49.200001,49.380001,47.450001,47.799999,47.467499,45905700
2024-01-03,47.099998,47.810001,46.799999,47.049999,46.722717,35858400
2024-01-04,45.720001,47.160000,45.240002,46.869999,46.543968,47797800
2024-01-05,47.029999,47.830002,46.639999,46.889999,46.563828,34332100
2024-01-08,47.070000,48.759998,46.970001,48.450001,48.112980,42135100
2024-01-09,48.009998,48.560001,47.799999,48.049999,47.715759,30097000
2024-01-10,48.240002,48.299999,46.939999,47.470001,47.139793,31480200
2024-01-11,47.439999,47.840000,46.730000,47.639999,47.308613,31707900
2024-01-12,47.599998,47.669998,46.610001,47.119999,46.792225,27448800
2024-01-16,46.980000,47.220001,46.380001,47.060001,46.732647,43720700
2024-01-17,46.419998,46.419998,45.650002,46.060001,45.739605,33488000
2024-01-18,47.029999,47.570000,46.169998,46.740002,46.414871,46681300
2024-01-19,47.000000,48.759998,46.439999,48.150002,47.815067,55912900
2024-01-22,48.849998,49.169998,47.639999,48.220001,47.884579,45639500
2024-01-23,48.119999,48.939999,47.320000,48.889999,48.549915,37224100
2024-01-24,49.169998,49.770000,48.270000,49.090000,48.748524,49375800
2024-01-25,50.000000,50.299999,48.970001,49.549999,49.205326,84845100
2024-01-26,44.180000,45.410000,43.349998,43.650002,43.346367,127665300
2024-01-29,43.709999,43.990002,42.810001,43.840000,43.535046,51790900
2024-01-30,43.669998,43.820000,42.889999,42.919998,42.621441,47958800
2024-01-31,42.570000,43.790001,42.360001,43.080002,42.780334,51584200
2024-02-01,43.150002,43.570000,42.490002,43.360001,43.058388,38819900
2024-02-02,43.000000,43.139999,41.599998,42.599998,42.303669,53669900
2024-02-05,42.619999,43.150002,42.430000,42.770000,42.472488,28890300
2024-02-06,42.700001,42.779999,42.139999,42.740002,42.567104,34068200
2024-02-07,42.889999,43.099998,42.549999,42.779999,42.606941,34269200
2024-02-08,42.720001,42.970001,42.330002,42.500000,42.328075,33206500
2024-02-09,42.549999,43.520000,42.400002,43.310001,43.134800,51193000
2024-02-12,43.389999,45.040001,43.320000,44.029999,43.851883,51107300
2024-02-13,43.000000,43.630001,42.759998,43.160000,42.985405,36622200
2024-02-14,43.820000,44.290001,43.389999,44.189999,44.011238,36186200
2024-02-15,44.759998,45.270000,44.020000,44.049999,43.871803,44024500
2024-02-16,44.029999,44.220001,43.119999,43.509998,43.333988,29858600
2024-02-20,44.259998,45.169998,43.419998,44.520000,44.339905,61514100
2024-02-21,44.480000,44.689999,43.080002,43.470001,43.294151,57715000
2024-02-22,44.680000,44.680000,42.529999,42.980000,42.806133,62809300
2024-02-23,43.130001,43.509998,42.660000,42.990002,42.816093,33810700
2024-02-26,43.500000,43.680000,42.820000,42.990002,42.816093,27035400
2024-02-27,43.250000,43.270000,42.509998,42.730000,42.557144,25126400
2024-02-28,42.439999,42.450001,41.910000,41.990002,41.820141,26928500
2024-02-29,42.369999,43.150002,42.360001,43.049999,42.875847,48875100
2024-03-01,43.410000,44.270000,43.130001,43.820000,43.642735,41396900
2024-03-04,44.270000,46.610001,43.849998,45.610001,45.425495,59990800
2024-03-05,44.560001,44.869999,42.689999,43.160000,42.985405,56655100
2024-03-06,43.930000,45.509998,43.560001,44.509998,44.329941,52652000
2024-03-07,45.549999,46.419998,45.180000,46.150002,45.963310,50378200
2024-03-08,46.439999,46.630001,44.000000,44.000000,43.822006,54793800
2024-03-11,43.869999,44.930000,43.660000,44.860001,44.678528,35051000
2024-03-12,45.060001,45.270000,44.459999,45.240002,45.056992,31795800
2024-03-13,44.509998,44.980000,43.200001,43.230000,43.055122,53195900
2024-03-14,43.230000,43.349998,42.509998,42.750000,42.577065,38100000
2024-03-15,42.450001,43.150002,42.349998,42.639999,42.467506,66930200
2024-03-18,43.090000,43.380001,42.599998,42.709999,42.537224,27668300
2024-03-19,42.250000,42.290001,41.439999,42.049999,41.879894,34673000
2024-03-20,42.990002,43.009998,41.410000,42.200001,42.029289,74865000
2024-03-21,42.990002,43.599998,42.320000,42.419998,42.248398,50807600
2024-03-22,42.250000,42.799999,42.090000,42.570000,42.397793,28435300
2024-03-25,40.889999,42.220001,40.570000,41.830002,41.660786,47276500
2024-03-26,41.950001,42.270000,41.660000,41.990002,41.820141,39109700
